DocumentID	Score
82244	3.707492910336667
21738	0.440864376954329
27378	-0.376632228890669
36575	-1.542157019433581
17371	-2.089983088612092
76651	-2.508940035340671
86184	-2.698045516369562
8796	-2.904775609170517
69370	-3.103357225060793
43860	-3.326865314637161
60586	-3.368787127583951
33147	-3.419707136983692
33155	-3.552549848089082
33759	-3.842134285848633
29916	-4.410284193567509
12097	-4.499086843890860
15211	-4.499086843890860
14506	-4.598281682222463
48364	-4.610193828620554
29684	-4.683093067444591
52836	-4.752923301667289
68048	-4.789457269325940
18536	-5.057040930623388
29248	-5.074392796651456
17688	-5.121173837451128
11606	-5.193222999139309
50193	-5.197092863576314
45721	-5.257336260728952
14503	-5.280223618376480
15641	-5.342909863797284
79732	-5.352673263709046
29910	-5.376433781346234
17305	-5.406566848615915
17687	-5.424210391849963
12850	-5.459053399314385
40278	-5.464269513370945
14501	-5.470044898068418
14507	-5.472720100452037
29892	-5.525007747163669
26068	-5.530257453634777
17654	-5.580074599471564
14673	-5.632136273548712
8169	-5.721494976375645
6299	-5.736571851065786
7057	-5.779893599291528
86381	-5.865299102058911
3781	-5.876917847039715
41461	-5.943325265787502
17318	-5.945037396277318
7773	-5.947229871601126
32232	-6.073163933017998
32472	-6.089791047299401
29984	-6.103693643631350
26072	-6.239189695867230
44236	-6.245116367867520
45707	-6.255364686860146
51917	-6.296906634395381
67785	-6.326348903847592
14504	-6.455577079523301
41447	-6.459584357829270
6237	-6.489477042577854
16169	-6.557178314678057
22691	-6.558606239057283
45735	-6.585673978193481
14502	-6.587130522218025
27970	-6.591755797004539
11106	-6.663214217022951
22862	-6.726947348986492
21077	-6.732473907767042
4300	-6.745985455270537
29895	-6.776029617015244
29200	-6.913486334924592
17652	-6.953848639774702
35017	-7.000224427741911
54291	-7.015545958182933
29958	-7.050985692273381
28025	-7.054854062832426
14512	-7.065738161083305
17653	-7.075786863966100
17361	-7.191690765361724
35545	-7.205537980885325
14505	-7.359869010517709
17647	-7.399212371891816
17651	-7.532164501980759
29271	-7.684089154345044
17648	-7.696439846182900
18525	-7.705059645573168
29196	-7.727085356425134
28622	-7.730502503237704
19028	-7.801289497957082
17278	-7.907014891086307
19026	-7.983117961032473
18001	-8.094275509118408
17317	-8.452636451446999
17689	-8.585593177113500
