DocumentID	Score
41857	6.604017645066365
40119	5.796796020186923
26568	3.772120832880111
16170	3.338630223727341
80756	3.058513500567249
58957	2.221998682354775
73034	2.127660082542842
59502	1.998771085035632
62536	1.974945731413484
31504	1.967197278917977
60118	1.928625159997821
31515	1.193785284479533
41975	1.123006534750142
77349	0.575116491495886
14855	0.000000000000000
22961	-0.516763958519003
27966	-0.582064589057699
31141	-0.609663362884445
6635	-0.612227325409479
7937	-0.614772376450351
28440	-1.959015771452121
28455	-1.962549077851295
39433	-2.526587669807584
36601	-2.553298639754888
13484	-2.931340995155515
77104	-3.160341029585723
77102	-3.191329743126552
62836	-3.193566493534980
62835	-3.195806381545478
49907	-3.730104395723976
63056	-4.390373908567740
