DocumentID	Score
3740	12.053422139697259
56170	11.707620101455980
9846	10.045121558133804
37136	9.462355790909715
58476	9.382969287715881
26085	9.086849292422158
26088	9.073052463548628
71345	8.905062001910281
3972	8.730151875911510
16343	8.263624384747661
39335	8.193111465673363
15875	8.158923467210554
75201	8.124736679213759
75591	7.428571433540240
70233	7.096657462003046
4933	7.092775584650918
77428	6.856650661275937
78727	6.856650661275937
49879	6.660808154128389
39173	6.458098998765951
64070	6.227707383225941
66923	6.144560801610068
25134	5.824691303560968
22751	5.623829427605154
32366	4.209655569960463
25172	4.098245591134893
65394	4.033788691317322
58888	3.928396867223514
16575	3.902052771634078
67861	3.765671514741140
76675	3.760874676152509
61170	3.759753680276652
60528	3.649155872387937
84584	3.246260626833258
24515	3.136172975160871
20973	2.714487057723254
13342	2.379602257464634
16954	2.239757693648767
66961	2.093739979329325
64033	2.028161856832462
68037	2.028032913364135
28598	1.967505786989466
24214	1.926797669591088
67634	1.918206013199599
26598	1.875527640367626
59464	1.632790085809724
27215	1.602307216348040
80709	1.342778607636634
9591	1.054045324106420
80893	0.712928286583624
73326	0.297108441973834
