DocumentID	Score
25063	11.616400005459026
45396	11.309721478788090
44400	10.554859273937680
22321	10.301081920904467
11825	10.036880701450666
43139	9.808433937408306
58343	8.483000224921186
6857	8.101618257814213
18393	6.426780282090314
18151	6.426780282090314
82249	2.053815882087993
42848	1.846754241879715
66336	1.242987528596877
38058	0.692230506979376
9557	0.482416639823356
17115	0.000000000000000
77680	0.000000000000000
28761	0.000000000000000
67528	0.000000000000000
45414	0.000000000000000
8751	0.000000000000000
36005	-0.279818486760888
80790	-0.315333729123722
42990	-0.351823911566198
42862	-0.351823911566198
55052	-0.364291092063314
20461	-0.496787860437681
13885	-0.569151806476007
38134	-1.020241908176723
77763	-1.057309392585633
74567	-1.178353576404944
72912	-1.240310452153318
35785	-1.250270701536198
46402	-1.251779103006895
46978	-1.289597315502878
11288	-1.338465670925412
47161	-1.396043162303906
22244	-1.428020905979455
70874	-1.429494159316381
69819	-1.429494159316381
13939	-1.564192625306903
13069	-1.648045399916364
16137	-1.772279791193329
13065	-1.780597120629520
57378	-1.832295833452150
40745	-1.866452537224308
29728	-1.868513893822094
2789	-2.114147855275843
35214	-2.127405023840767
33779	-2.127405023840767
16139	-2.218508504841435
44009	-2.275928337345191
16767	-2.398150541383508
35886	-2.425456490284733
55086	-2.525475533517322
56423	-2.649201757713926
58983	-2.801650771393442
12877	-3.046471448002834
45138	-3.408453628597479
